title,author,year,star_rating,price,book_url,scraped_at
Blockchain Data Analytics for Dummies,Michael G. Solomon,2020,5,£73.57,https://openlibrary.org/works/OL25223994W,2026-03-19 15:42:27
Big-Data Analytics and Cloud Computing,Marcello Trovati; Richard Hill,2016,2,£92.83,https://openlibrary.org/works/OL20848175W,2026-03-19 15:42:27
Understanding Big Data. Analytics for Enterprise Class Hadoop and Streaming Data,Paul C Zikopoulos; Chris Eaton,2012,4,£75.87,https://openlibrary.org/works/OL16797596W,2026-03-19 15:42:27
Agile Data Science,Russell Jurney,2013,4,£88.05,https://openlibrary.org/works/OL17369996W,2026-03-19 15:42:27
Fundamentals of Machine Learning for Predictive Data Analytics,John D. Kelleher; Brian MacNamee,2015,5,£92.57,https://openlibrary.org/works/OL21103177W,2026-03-19 15:42:27
HBR Guide to Data Analytics Basics for Managers,HBR,2018,4,£14.67,https://openlibrary.org/works/OL20169580W,2026-03-19 15:42:27
Data Strategy,Bernard Marr,2017,4,£36.39,https://openlibrary.org/works/OL21143018W,2026-03-19 15:42:27
"Big Data - Using SMART Big Data, Analytics and Metrics To Make Better Decisions and Improve Performance",Bernard Marr,2015,4,£70.94,https://openlibrary.org/works/OL19541982W,2026-03-19 15:42:27
Emerging Technologies in Computer Engineering : Microservices in Big Data Analytics,Arun K. Somani; Seeram Ramakrishna,2019,5,£95.74,https://openlibrary.org/works/OL20851611W,2026-03-19 15:42:27
Mastering Qlik Sense,Juan Ignacio Vitantonio; Martin Mahler,2018,5,£91.26,https://openlibrary.org/works/OL25197789W,2026-03-19 15:42:27
Now you see it,Stephen Few,2009,4,£71.61,https://openlibrary.org/works/OL15588940W,2026-03-19 15:42:27
Machine Learning for Business Analytics,Galit Shmueli; Peter C. Bruce,2022,5,£49.68,https://openlibrary.org/works/OL26524232W,2026-03-19 15:42:27
Speech and language processing,Dan Jurafsky; Daniel Jurafsky,2000,4,£82.08,https://openlibrary.org/works/OL76830W,2026-03-19 15:42:27
Computational Linguistics and Intelligent Text Processing,Alexander Gelbukh,2003,5,£74.95,https://openlibrary.org/works/OL19836244W,2026-03-19 15:42:27
AI Engineering,Chip Huyen,2024,5,£87.17,https://openlibrary.org/works/OL39671094W,2026-03-19 15:42:27
Libraries of the future,J. C. R. Licklider,1965,4,£54.65,https://openlibrary.org/works/OL10471033W,2026-03-19 15:42:27
The language complexity game,Eric Sven Ristad,1993,4,£65.52,https://openlibrary.org/works/OL4310521W,2026-03-19 15:42:27
Discrete mathematical structures with applications to computer science,Jean-Paul Tremblay,1975,1,£63.26,https://openlibrary.org/works/OL4777616W,2026-03-19 15:42:27
ChatGPT,Dr. Andrej Poleev,2023,5,£75.31,https://openlibrary.org/works/OL24235520W,2026-03-19 15:42:27
Language and computers,Markus Dickinson,2012,3,£76.46,https://openlibrary.org/works/OL16572395W,2026-03-19 15:42:27
